Teks;Lokasi;Waktu;User;Label
b'\xe0\xa4\x96\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\xae\xe0\xa5\x88\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xac\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x89\xe0\xa4\xa8 \xe0\xa5\xa7\xe0\xa5\xab \xe0\xa4\xac\xe0\xa4\xbf\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa4\xbe \xe0\xa4\x9c\xe0\xa4\x97\xe0\xa5\x8d\xe0\xa4\x97\xe0\xa4\xbe https://t.co/WBG2WZ4gzR';;05/11/18 10.25;ashakakiran;0
b'@butiransugar hotelnya jgn yg jauh jauh ya dr stasiun \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b';Coblong;05/11/18 10.25;biskuitmilna;0
b'd warung bang chas \xf0\x9f\x98\x80';;05/11/18 10.25;ghaida_farisya;0
b'https://t.co/QW9mxgv5hs';;05/11/18 10.25;bibilungsweet;0
b'Baby boomer tu ga usah ikut2an Gen-Y ato milenial ..';Gayam Sari;05/11/18 10.25;jefry_alvin;0
b'@azzahraqm Tinggal folbek';;05/11/18 10.25;martiyanes;0
b'Sukses terdiri\ndari 1% bakat\ndan 99%\nkeringat';;05/11/18 10.25;IchdaCHoi;0
b'@fchwpo14 Enak ko sering ngeluh sih mas? Kalau udah enak, jauh dari mengeluh mas. Bersyukur, hati damai dan selalu berbuat positif untuk orang lain. Jadi kelihatan bahagia dan benar benar menikmati hidup kaya saya. Enjoy your life then. \xf0\x9f\x98\x89';;05/11/18 10.25;abadiinsan;0
b'@pln_123 \nPadam listrik nih di sekitar ciangsana. Ada gangguan apa ya? Kira2 mau dinyalakan jam brp?\nTks';;05/11/18 10.25;MRiyadi45;0
b'@nurressya hmm saya yakin ini penipuan';;05/11/18 10.25;zaabdn;0
b'@nishikidomiia Langsung cuss ke PVJ atuh';;05/11/18 10.25;joe_swann2;0
b'@iqah_kth @BTS_twt Wkwk kenapaaaa';;05/11/18 10.25;savemebaee;0
b'Jk - Golden Closet Film (G. C. F)\nLisa - Lilifilm \n\nOk deh \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb';;05/11/18 10.25;myysugarr;0
b'That controversial minds.';;05/11/18 10.25;Imelda_ASanjaya;0
b'Coba banyak iqra kedalam hatimu.. https://t.co/Kd6p6VSIhP';Lengkong;05/11/18 10.25;adjie_dygta;0
"b'[askMF] Ferguso"" itu apa sih? Sama Maleen dll?? Drop meme nya juga dong yg ferguso dll'";;05/11/18 10.25;askmenfess;0
b'Tabiat cebong mang gitu..\nBanyak ngelesnya. https://t.co/Qm4cpNbpuO';;05/11/18 10.25;kali_wono;2
b'Cc @PBB2019 , Bang @Ayaniulva caleg PBB https://t.co/ZfAsXavScy';;05/11/18 10.25;KNVB18;0
b'@mtvasia @BTS_twt congratulationsss bangtann\xf0\x9f\x92\x9c @BTS_twt';;05/11/18 10.25;adis151;0
b'Dia Akui @Simcm7 \nBukan Mengakui\n\n\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xe2\x9c\x8c\xe2\x9c\x8c\xe2\x9c\x8c\xe2\x9c\x8c @ West Java https://t.co/TcPALoBhUG';;05/11/18 10.25;IncuAkiDidja;0
b'@SkinOed @InfoSuperIndo umure wes ra nyandakkk\n..\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad';;05/11/18 10.25;thesendykusumo;0
b'Yha emang dasarnya pas minggu suruh pulang. Janji batal jugak tetep aja yg bikin pulang';;05/11/18 10.25;srimull;0
b'@iamsofiaandres Wow \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d';;05/11/18 10.25;herzelibchen;0
b'@S_AngelJKT48 Sori w anak baikbaik\xf0\x9f\x98\x8e';Batununggal;05/11/18 10.25;ryancacola;0
b'Besok beli power bank deh, capek ngadepin listrik yang kedap kedip tiap minggu. Padahal lagi butuuh';;05/11/18 10.25;uswatundh15;0
b'@rlthingy2 markah';;05/11/18 10.25;dimsaaaam;0
"b'kenapa harus ""mencari"" kenapa tidak ""menjadi""'";;05/11/18 10.25;alvkrz;0
b'Agar satu tujuan tanamkan niat untuk saling membahagiakan';Ngaglik;05/11/18 10.25;julvasetiani;0
b'[Askmf] ada yang tau cara mute video atau picture?';;05/11/18 10.25;askmenfess;0
b'Kalau saya amati : Ternyata seorang pria kalau lama ditinggal istri\nBicara dan cara berpikirnya jadi kacau, \n\nKalian pasti tahu siapa dia ????\n\n#DudaAraban';;05/11/18 10.25;t0m1_w3lly;0
b'adu jgn pacaran di mentab aq';;05/11/18 10.25;arif_rahmat911;0
b'Maksudnya... Ga merendahkan yang lain gitu lho. Aku percaya semua lagu sama bagusnya, tinggal selera pendengarnya aja yang beda.';;05/11/18 10.25;pacarjunhoe;0
b'Kliatan banget kalo Coki dan Muslim di bawah tekanan.. hahahahahah..';;05/11/18 10.25;cak_sugenk;0
b'[askmf] pap lampu tumblr yg kalian pake di kamar dongg, aku lagi mencari inspirasi';;05/11/18 10.25;askmenfess;0
"b""[askmf] mau nanya dong, menurut kalian kalo tbtb cowo kita berubah jdi kasar itu kenapa yah? :')""";;05/11/18 10.25;askmenfess;0
b'Oh oke thankyou tom https://t.co/TWB2c0pSNN';;05/11/18 10.25;rrzkyramdani;0
b'TO LOVE FOR THE SAKE OF BEING LOVED IS HUMAN, BUT TO LOVE FOR THE SAKE OF LOVING IS ANGELIC #BOTkece';;05/11/18 10.25;m18895;0
b'[Askmf] Enaknya bikin ig story apa yaa supaya mancing doi buat reply?? :(';;05/11/18 10.25;askmenfess;0
b'@sagaami kak itu kok mobil nya panjang yaa';;05/11/18 10.25;HunkChenn;0
b'@LionellDaviar Trus maunya apa!? Sepatu kuda!?';;05/11/18 10.25;radindinc;0
b'@JogjaUpdate @SaidAdhon Mantap';;05/11/18 10.25;yusuf021089;0
b'@rlthingy ayo sini sini';;05/11/18 10.25;byuhty;0
b'Karateka Cilik Asal Cilegon Wakili Indonesia ke Turnamen di Belgia https://t.co/qafdGOnimV';;05/11/18 10.25;AriKurniawan95;0
b'@ahmdnkhoiri_ Tidak ada apa2 \xf0\x9f\x98\x81';;05/11/18 10.25;JenengKuIda;0
b'Aku masih marah ke adekku,tapi aku kasian juga sih';;05/11/18 10.25;aprilbloom04;0
b'@lNDOMY @BTS_twt sama jungkook aja? ga allmemb BTS?';;05/11/18 10.25;dpvanny9_;0
"b'Aksi Yel-Yel Tim Gorila, Monyet &amp; Komodo \nPapring-Kalipuro-Banyuwangi \nMinggu, 04 November 2018\n\nSetelah penentuan waktu membuat yel-yel habis, maka setiap tim akan melakukan aksi untuk\xe2\x80\xa6 https://t.co/qVoNY1XpLW'";Banyuwangi;05/11/18 10.25;kampoengbatara;0
b'@129hoonie @diarybroduce Gue romance versi dong';;05/11/18 10.25;mscdngzxaiy;0
b'Halo kalian yang selalu kehujanan...';;05/11/18 10.25;alankfn;0
b'https://t.co/1S3h450eSN';;05/11/18 10.25;bibilungsweet;0
b'@kasiyeni2 Maaf atas ketidaknyamanannya. Naya cek saat ini pada email Layanan Pengguna sudah direspons kendala Kakak dan Kakak juga sudah merespons kembali email Layanan Penggunanya. Bisa tunggu dahulu ya dan fokuskan kembali kendala Kakak pada satu pelaporan saja agar terjadi komunikasi --';;05/11/18 10.25;TokopediaCare;0
b'Payment sent via ESEWA\nThank you for shopping with us \xf0\x9f\x98\x8d\n#MiracleEyEGel and, #Detoxi_Original\n\xf0\x9f\x91\x81 MIRACLE EYE GEL\nVitamin Enriched\nHelps in whitening \nHelps in anti-wrinkles \nHelps in relieving puffy eyes \nHelps fade away dark circles\n\n\xe2\x98\x8e\xef\xb8\x8f9841329273\n\xf0\x9f\x9a\x9adelivery worldwide \xf0\x9f\x8c\x8d';;05/11/18 10.25;zuwacosmetics;0
b'Seneng ujan ujanan. https://t.co/CF3ECCvTBd';;05/11/18 10.25;proxiexam;0
b'//: Boleh minta follownya? @senandikasuara';;05/11/18 10.25;enigmarasa;0
b'@askmenfess Ngilangin gimn?  Beda windows beda aturannya kalo gk slh';;05/11/18 10.25;virgilia99;0
b'Three Ways To Hone Your Communication To Build Stronger Relationships via @forbes https://t.co/35R6kRkdKy';;05/11/18 10.25;whitelovers;0
b'@Anisyoooo @BTS_twt Yakann';;05/11/18 10.25;savemebaee;0
"b'@aurum_sr Hahahaha maaf itu history aku pagi tadi minum itu dulu wkwk maap receh &gt;.'";;05/11/18 10.25;Ambargustianaaa;0
b'@rlthingy2 Bawa PS';;05/11/18 10.25;mengenaskan_;0
b'Ohya selamat menempuh hidup baru dg psangan, smg sllu diberkahi https://t.co/9cY9O44Ka8';;05/11/18 10.25;AlifkaDk;0
b'DONT MESS UP MY TEMPO~\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/D8ZWkIrlgW';;05/11/18 10.25;bukanborjuis;0
b'Sabda Nabi Muhammad SAW yg diucapkan lebih\xc2\xa01400 tahun itu \xc2\xa0jelas menggambarkan secara akurat apa yg sedang melanda umat Islam dunia saat ini yg buta matanya dan beku mata hatinya. Kita\xe2\x80\xa6 https://t.co/SupAWhrwRx';;05/11/18 10.25;_adimahardika;0
b'@PeterGontha @chicohakim Ahai Dibalas sama Amangboru twitku. Kapan balik ke Jakarta dr Polandia Amangboru?';;05/11/18 10.25;Umar_Hasibuan_;0
b'Hey Amber Khanur(@mayuri182), thank you for following me';;05/11/18 10.25;lembonganisland;0
b'@beauthingy worth';;05/11/18 10.25;taraeln;0
b'@chenlegram Soree, dengan siapa ini?';;05/11/18 10.25;aquwu1;0
b'Panase ra umum https://t.co/gwuFIJr4eV';;05/11/18 10.25;kazzapanja;0
b'@kagawa_kotomi Happy birthday \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a';;05/11/18 10.25;AlexanderAnggo1;0
"b'W nunggu 2 jam lebih dan jawabannya ""tunggu bentar ya"" aishh\xf0\x9f\x98\xaa'";;05/11/18 10.25;dwiayuandriani;0
b'@Fajar_sidiq91 @Surgabidadari3 Trik untuk mendapatkan duitkah??????';;05/11/18 10.25;Putro75;0
b'@karinarief Semangattttt kayinnn, kudu kuat kan ?';;05/11/18 10.25;Nimasrd;0
b'@hanimmue Ngerti, cuma dia mau kepastian. Ga suka lagi main kode-kode. Lelah. :p';;05/11/18 10.25;ninasution;0
b'@naretaa_ @nirvana_setya Hmmm kamu sini main malangg';;05/11/18 10.25;AndhrewBizzle_;0
b'@ardi_riau Aamiin';;05/11/18 10.25;HdrAbdurrahman;0
"b""great photo, three beautiful people \n\nand Misha's smile...omg \xf0\x9f\x98\x8d https://t.co/Bt03t6wVo5""";;05/11/18 10.25;demonangelic;0
b'@mynameistoni_ Yhaaa mas :((';;05/11/18 10.25;dwimuuurti;0
b'@taufiq04    Ok kak diteruskan via DM Trims -Oktap';;05/11/18 10.25;TelkomCare;0
b'Sumpek di rumah';;05/11/18 10.25;tania_imbriani;0
b'Cara ukur luas hamparan sawah https://t.co/5GdZu4dHqE';;05/11/18 10.25;rodhi_aviv;0
b'@rlthingy Enak kok rasanya gak terlalu manis jadi gak cepet eneg tapi aku gak suka sama selai strawberry di dalemnya -_-';;05/11/18 10.25;myu296;0
b'@khusi_sarmi \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa4\xbf \xe0\xa4\x96\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xaf\xe0\xa4\xa4\xe0\xa5\x88 \xe0\xa4\x86\xe0\xa4\x89\xe0\xa4\xa8\xe0\xa5\x81 \xe0\xa4\xaa\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9b \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xf0\x9f\x98\x87';;05/11/18 10.25;Maknows666;0
b'Terbiasa ditinggal hilang, baru mencari. Coba peka sedikit, mungkin ada maksudnya.';;05/11/18 10.25;carissamdputeri;0
b'@caldina_young Ga ada drakor yang bisa ngalahin plot twist nya ini. Soalnya tanpa ada tanda2 dan kode, langsung nyeritain gitu. Shock sendiri aku';;05/11/18 10.25;myryeong_dhilah;0
b'@diskusifajar Anjingnya lucu banget kak.';;05/11/18 10.25;AndraaDL;0
b'@skrhayrk Mantap. Bisa tidur nyenyak dong walau ntar dapet kabar h-sekian jam..!! \xf0\x9f\x98\x8e';;05/11/18 10.25;dewipuspitajaya;0
b'@MSApunya @Ammar08 #2019GantiPresiaden';;05/11/18 10.25;andi_choetra;2
b'Super duper teparrrr';;05/11/18 10.25;EskaCahyaD;0
b'Huft';;05/11/18 10.25;mogirlang;0
b'@paper_planee_ @mtvema @BTS_twt Iya nih kota seumurann wkwk\nMakasih juga udh mau gabung ga nya hehee semoga beruntung^^\nAamiin\xf0\x9f\x92\x9c';;05/11/18 10.25;lillmeowmeow_;0
b'tidak excited :)';;05/11/18 10.25;wildasfr;0
b'@HotPepperminTea @WinLestarie Sabar mba ...mungkin blom jodoh Ahihihi';;05/11/18 10.25;HFrenky;0
b'@18autobase aku si ga penting. tp buat doi penting bgt:(';;05/11/18 10.25;vanillateu;0
b'Comfy \xe2\x80\x93 \xd0\x98\xd0\xbd\xd1\x82\xd0\xb5\xd1\x80\xd0\xbd\xd0\xb5\xd1\x82 \xd0\xbc\xd0\xb0\xd0\xb3\xd0\xb0\xd0\xb7\xd0\xb8\xd0\xbd \xd0\xb1\xd1\x8b\xd1\x82\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb9 \xd1\x82\xd0\xb5\xd1\x85\xd0\xbd\xd0\xb8\xd0\xba\xd0\xb8 \xd0\xb8 \xd1\x8d\xd0\xbb\xd0\xb5\xd0\xba\xd1\x82\xd1\x80\xd0\xbe\xd0\xbd\xd0\xb8\xd0\xba\xd0\xb8. \xd0\xa1\xd0\xb5\xd1\x82\xd1\x8c \xd0\xbc\xd0\xb0\xd0\xb3\xd0\xb0\xd0\xb7\xd0\xb8\xd0\xbd\xd0\xbe\xd0\xb2 \xd0\xb1\xd1\x8b\xd1\x82\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb9 \xd1\x82\xd0\xb5\xd1\x85\xd0\xbd\xd0\xb8\xd0\xba\xd0\xb8 \xd0\xb8 \xd1\x8d\xd0\xbb\xd0\xb5\xd0\xba\xd1\x82\xd1\x80\xd0\xbe\xd0\xbd\xd0\xb8\xd0\xba\xd0\xb8 \xd0\xb2 \xd0\x9a\xd0\xb8\xd0\xb5\xd0\xb2\xd0\xb5, \xd0\xa3\xd0\xba\xd1\x80\xd0\xb0\xd0\xb8\xd0\xbd\xd0\xb5 | Comfy (\xd0\x9a\xd0\xbe\xd0\xbc\xd1\x84\xd0\xb8) https://t.co/xXKaZXUOd4';;05/11/18 10.25;muhlisin971;0
b'I have a secret dream, in the future \xf0\x9f\x98\x8f';;05/11/18 10.25;AfikriFatur;0
b'Jancuk itu kemarahan hati yg murni https://t.co/8Wky0XbpSk';Colomadu;05/11/18 10.25;drivergojek1923;0
b'how wonderful it is that nobody need wait a single moment before starting to improve the world';;05/11/18 10.25;yogajnls;0
b'@ohdeeraki @JoventeAUs ((puta lahat nalang connected sayo R U THE VIRGIN MARY????))';;05/11/18 10.25;vicentiments;0
b'@diarybroduce MAAUUUUUU';;05/11/18 10.25;apriliaa_24;0
b'Keren banget \xf0\x9f\x87\xae\xf0\x9f\x87\xa9 @ Lautan Pasir Bromo https://t.co/wteXSLkvQW';Plemahan;05/11/18 10.25;IlhamFitri;0
b'-agc bulan ini ahgase ada selcaday ga?';;05/11/18 10.25;ahgasession;0
b'@dayaningbuanaa Sengaja biar yg baca nyanyi';;05/11/18 10.25;MaudyVaa16;0
b'-agc apakah ada yg pernah kyk aku juga ? https://t.co/JSSdxJGaxV';;05/11/18 10.25;ahgasession;0
b'@barbekiuuu @BTS_twt Wkwk yaallah:(';;05/11/18 10.25;savemebaee;0
b'#SA3 NATASHA WILONA @SCTV_';;05/11/18 10.25;3rlitasandra_;0
b'Jam segini masih di kantor gaes wkwkwk';;05/11/18 10.25;dizgadiss;0
b'@aan__ 22 November kan yaaaa? hahahah';;05/11/18 10.25;lonaangrainy;0
b'Lindungi pekerja Degan sepenuh hati\n#bodyharness\n#priapekerjakeras \n#utamakankeselamatan\n#cheprocrew\n#cheproFX @ Raffles Jakarta https://t.co/WhRkFIZlQT';Setia Budi;05/11/18 10.25;chenffeck_prod;0
b'Kamu tau nggak tadi malem aku mimpi nyasar!\nKe mana? \nKe hatimu\n#SeninJempol';;05/11/18 10.25;rudhin24;0
b'@sulkyaries Boyolali lagi hits';;05/11/18 10.25;emfatmh;0
b'@rizkiriendi gue dikasih haha jenis ragdoll';;05/11/18 10.25;nandanandong;0
b'Sisa event di ukdw :D\nWith kak tom :)';;05/11/18 10.25;danik_rahma;0
"b""do'a kidholic selalu menyertai kali bang DA2_rizki DA2_ridho :) semoga sukses di D'academy :))""";;05/11/18 10.25;kidholic_kbm;0
b'@rlthingy2 Ayok';;05/11/18 10.25;Cobadisapa;0
b'Program Rehabilitasi Sosial 5.0 NP, Metode dan Pendekatan Baru dalam Pelayanan Lima Klaster. https://t.co/zHzAwm9EyB';;05/11/18 10.25;sundyca;0
b'@askmenfess ciduk min pelakunya';;05/11/18 10.25;noturkings;0
b'https://t.co/m6avaIkqsB';;05/11/18 10.25;desie_amanda;0
b'@duhmnas3 Iya \nMemng';;05/11/18 10.25;Akunihar;0
b'Gajian cuman sekali, belum banyak lagi. Tapi yang di pengenin banyak. Byaaaahaengrakyatjelata:)';Ngaliyan;05/11/18 10.25;MaretaGitaP;0
b'Apa kabar rindu?';;05/11/18 10.25;MYudhistiraArd2;0
b'KAI Optimistis Capai 400 Juta Penumpang di Akhir 2018  https://t.co/DjTxEJaRwE';;05/11/18 10.25;SonoraFM92;0
b'Gublug \xf0\x9f\x98\x85 https://t.co/WlB00crpcp';;05/11/18 10.25;ichynara;0
"b'Selamat Sore kak ..\n\nMasih penasaran sama soal TOEFL ?\nPengin tau  score TOEFL ? \nYukk ikutan ""Free TOEFL Practice""  yang diselenggarakan oleh SPEC Purwokerto secara rutin. \n\nBagi\xe2\x80\xa6 https://t.co/HTFB8iPyhf'";Purwokerto Utara;05/11/18 10.25;SpecPurwokerto;0
"b'@fendywul Ku beliin dressnya H&amp;M aja kali yak biar nggak bingung jait juga'";;05/11/18 10.25;KylaCynara;0
b'Ayo ngopi dong?';;05/11/18 10.25;RAHMAT_STAR;0
b'Kalo supir bajaj ini bajajnya ga bakalan ada lecet2 \xf0\x9f\x98\x81 https://t.co/nsC2pf4bOz';;05/11/18 10.25;johannandrian;0
b'@albertchrstfr gmail yg buat login di disable sm google, kwkwk';;05/11/18 10.25;ridiansyah_;0
b'https://t.co/98oVVRU7cn';;05/11/18 10.25;daiybreak;0
b'@koreanthingy Naufal/Novan/Putra';;05/11/18 10.25;airislullaby;0
b'Ngabuburit neng ngarep alfamart nunggu giliran antrian';;05/11/18 10.25;MillatiHaya;0
b'@Tutulke \xe0\xa4\xab\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa4\xbf \xe0\xa4\x95\xe0\xa5\x87\xe0\xa4\xb0\xe0\xa4\xbe\xf0\x9f\x8d\x8c \xe0\xa4\x9b';;05/11/18 10.25;FAKE_BHADHUR;0
b'@endahkussuma Jan bct , aku mikir dlu haha';;05/11/18 10.25;nonyoktavianii;0
b'Peringkat Kemudahan Berbisnis Turun Tak Berdampak ke Pertumbuhan Ekonomi https://t.co/S2cSCGKwtO';;05/11/18 10.25;liputan6dotcom;0
b'@sayakucingkanya Boleh gak aku adopsi satu? Ya allah aku sdih krna kucingku hilang pdhl mau dikawinin dan smpt stres 3 hari akunya krna Sora hilang. Kucingmu lucu angeett uhh gemass';;05/11/18 10.25;jimeensshi;0
b'Jangan datang membawa Cinta \xe2\x9d\xa4,  Lalu pergi meninggalkan Luka...';;05/11/18 10.25;AlfrishaEty;0
b'@Ngantukan_ @FANBASEBOKEP Sotau ah kamu tukang ukur:(';;05/11/18 10.25;apasayankku_;0
b'@nctfess2 Kajja!';;05/11/18 10.25;Bitak04_;0
b'BPS: Pengangguran di Kota Turun tapi Desa Naik https://t.co/jffGHR3kqa';;05/11/18 10.25;liputan6dotcom;0
"b'Masih ada, silahkan \nUkuran M &amp; L\nInfo : 0896-3184-8800\n.\n.\n.\n#skaindonesia #indonesiaska #indonesia_ska #rudeboy #rudegirl #skankin #jamming #berdanska #ska #ska #ska #baju\xe2\x80\xa6 https://t.co/brcWpOpnDu'";;05/11/18 10.25;indonesia_ska;0
b'Paspor Disita, Lee Jong Suk Bingung Tak Bisa Pulang dari Jakarta https://t.co/mEHZVsP44d';;05/11/18 10.25;liputan6dotcom;0
b'\xf0\x9f\x91\x80 https://t.co/0Q1BvBkN0F';;05/11/18 10.25;sillysone;0
b'Oppo Siap Tutup Tahun dengan Rilis Smartphone Baru https://t.co/3FteuyY3bF';;05/11/18 10.25;liputan6dotcom;0
b'@nniktasnim Tak sure lah diy atau daiso. Try jeler cari dua dua tu. Aku pernah nampak ritu tapi dekat sg. Kl ada juga kot \xf0\x9f\x98\x82';;05/11/18 10.25;nnatasharani;0
b'Ndak ah. Eh, ndak tau deng https://t.co/S59yOteObB';;05/11/18 10.25;vikaagustinaa;0
b'Jelang MotoGP Valencia, Lorenzo dan Dovizioso Malah Bertengkar https://t.co/OWq8mH2sLt';;05/11/18 10.25;liputan6dotcom;0
b'Semakin dewasa semakin sadar hubungan itu dinikmati berdua. Bukan dinikmati publik.';;05/11/18 10.25;fathyazaela;0
b'\xf0\x9f\x99\x8e\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f: Sayang, nanti aku mau jalan sama pcr aku. Km jangan sms/tlfn dulu ya! Kl udh balik aku kabarin.\n\xf0\x9f\x99\x8e\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f: Ok sayang. Hati2 ya! \xf0\x9f\x98\x98\n\xf0\x9f\x99\x8e\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f: \xf0\x9f\x98\x98\n\nSebuah seni dalam mencintai.';;05/11/18 10.25;IrvanTaufikWah1;0
b'Bagaimana bisa ingin mati dengan mengingat Allah kalau saat Sholat saja masih mengingat dunia ? Sungguh usaha terakhir syaitan dalam menyiasati manusia adalah dengan membuat kita was-was, dan ini adalah perkara yang rumit -';;05/11/18 10.25;Zulqarnaiyn;0
b'Demi mengenang mantan yang telah move  on mendahului kita, marilah kita hening cipta sejenak.\n#SeninJempol';;05/11/18 10.25;YulHasanah;0
b'Musim nya emang lagi panas panas nya..\nDuhhh..ternyata ngefek juga di bibir..\xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x89\nJadi lebih kering..\nHarus di rawat n dijaga nihhh... Enak nya yang mana ya...\nMelon..\xf0\x9f\x8d\x88\xf0\x9f\x8d\x88\xf0\x9f\x8d\x88\xf0\x9f\x8d\x88\nMangga ...\nAto\xe2\x80\xa6 https://t.co/waoact9Z6n';Panjatan;05/11/18 10.25;deasydandrynoeg;0
b'Lawan Timnas Indonesia, Singapura Minta Dukungan Suporter https://t.co/x5LKyfSaqA';;05/11/18 10.25;liputan6dotcom;0
b'@help_EXO_sming I already have a melon account provided by the fanbase, but not for streaming passes. I really want to help in streaming. What should I do? Please help me \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad';;05/11/18 10.25;aindrhaa;0
b'@kikinkitara Sebenernya sih iya udah gugur tapi kalo misal yg lolos PG ngga ngelebihi jumlah formasi kayaknya di ranking deh\n\nAku kan daftar di kemenkumham, adminnya juga belum berani bilang ketentuannya gimana kalo misal ada kasus kaya gitu. BKN pun sama katanya suruh nunggu pengumuman resmi';;05/11/18 10.25;pprince_10;0
b'Jangan lupa Follow bibihlubis ya';;05/11/18 10.25;bibihlubis;0
b'Waduh apa neh https://t.co/BTQaFcoEXk';;05/11/18 10.25;chenderella94;0
b'@Erlindapus ayo gaskeee @michellegbrm';;05/11/18 10.25;Elfredaaindri_;0
b'Polres Mojokerto Masih Ragu soal Kabar Penculikan Anak https://t.co/7K5k0MDpC9';;05/11/18 10.25;SINDOnews;0
b'@MNPratomo Beda bro.';;05/11/18 10.25;bumilangitcom;0
